horizon,minutes,baseline,n,target_sd,mae,rmse,r2,bias,per_day_mae,per_day_sd
30m,30,daily_mean,812,24.0628,20.2827,24.2308,-0.0153,2.9717,21.7074,10.817
30m,30,persistence,812,24.0628,2.7611,3.5446,0.9783,-0.564,2.5064,1.1169
30m,30,extrapolation,812,24.0628,1.2057,1.6084,0.9955,-0.1761,1.1458,0.296
1h,60,daily_mean,791,24.0577,20.2852,24.2315,-0.0158,3.0206,22.0199,11.6824
1h,60,persistence,791,24.0577,5.3338,6.785,0.9204,-1.0986,4.826,2.1615
1h,60,extrapolation,791,24.0577,2.3464,3.0891,0.9835,-0.2958,2.2169,0.615
3h,180,daily_mean,716,23.8974,20.2035,24.0116,-0.011,2.5041,22.2989,12.3203
3h,180,persistence,716,23.8974,15.0461,18.6142,0.3924,-3.3897,13.4159,6.0455
3h,180,extrapolation,716,23.8974,7.7975,11.1342,0.7826,0.0628,7.9,3.081
6h,360,daily_mean,601,22.0561,18.7616,22.1375,-0.0091,2.0995,18.5339,4.7256
6h,360,persistence,601,22.0561,27.8369,32.7782,-1.2123,-6.792,26.2093,9.2259
6h,360,extrapolation,601,22.0561,17.3394,26.0935,-0.4019,0.5008,19.4882,15.3441
