horizon,baseline,day,mae
30m,daily_mean,2026-08-29,23.2834
30m,daily_mean,2026-08-30,16.4505
30m,daily_mean,2026-08-31,37.4431
30m,daily_mean,2026-09-01,23.3491
30m,daily_mean,2026-09-02,8.0107
30m,persistence,2026-08-29,3.402
30m,persistence,2026-08-30,1.7527
30m,persistence,2026-08-31,2.1404
30m,persistence,2026-09-01,3.9339
30m,persistence,2026-09-02,1.303
30m,extrapolation,2026-08-29,1.4673
30m,extrapolation,2026-08-30,0.8901
30m,extrapolation,2026-08-31,1.0614
30m,extrapolation,2026-09-01,1.4504
30m,extrapolation,2026-09-02,0.8598
30m,time_of_day,2026-08-29,11.2336
30m,time_of_day,2026-08-30,8.3377
30m,time_of_day,2026-08-31,10.9337
30m,time_of_day,2026-09-01,7.5718
30m,time_of_day,2026-09-02,7.5757
30m,trend_plus_clock,2026-08-29,5.5447
30m,trend_plus_clock,2026-08-30,4.2534
30m,trend_plus_clock,2026-08-31,5.6554
30m,trend_plus_clock,2026-09-01,3.4846
30m,trend_plus_clock,2026-09-02,3.8603
1h,daily_mean,2026-08-29,23.7737
1h,daily_mean,2026-08-30,15.5917
1h,daily_mean,2026-08-31,39.6717
1h,daily_mean,2026-09-01,22.8016
1h,daily_mean,2026-09-02,8.2607
1h,persistence,2026-08-29,6.3212
1h,persistence,2026-08-30,3.3559
1h,persistence,2026-08-31,4.125
1h,persistence,2026-09-01,7.7689
1h,persistence,2026-09-02,2.5591
1h,extrapolation,2026-08-29,2.7047
1h,extrapolation,2026-08-30,1.774
1h,extrapolation,2026-08-31,2.1071
1h,extrapolation,2026-09-01,2.979
1h,extrapolation,2026-09-02,1.5197
1h,time_of_day,2026-08-29,10.8915
1h,time_of_day,2026-08-30,8.7994
1h,time_of_day,2026-08-31,12.2218
1h,time_of_day,2026-09-01,7.2657
1h,time_of_day,2026-09-02,7.6889
1h,trend_plus_clock,2026-08-29,5.1942
1h,trend_plus_clock,2026-08-30,4.6228
1h,trend_plus_clock,2026-08-31,6.4145
1h,trend_plus_clock,2026-09-01,3.1062
1h,trend_plus_clock,2026-09-02,3.9439
3h,daily_mean,2026-08-29,24.3711
3h,daily_mean,2026-08-30,13.6335
3h,daily_mean,2026-08-31,42.0092
3h,daily_mean,2026-09-01,20.9002
3h,daily_mean,2026-09-02,10.5805
3h,persistence,2026-08-29,15.6532
3h,persistence,2026-08-30,10.3395
3h,persistence,2026-08-31,10.6964
3h,persistence,2026-09-01,22.8761
3h,persistence,2026-09-02,7.514
3h,extrapolation,2026-08-29,6.1098
3h,extrapolation,2026-08-30,5.679
3h,extrapolation,2026-08-31,11.4643
3h,extrapolation,2026-09-01,11.0413
3h,extrapolation,2026-09-02,5.2056
3h,time_of_day,2026-08-29,8.3018
3h,time_of_day,2026-08-30,10.0346
3h,time_of_day,2026-08-31,18.2662
3h,time_of_day,2026-09-01,5.2854
3h,time_of_day,2026-09-02,8.4682
3h,trend_plus_clock,2026-08-29,5.3197
3h,trend_plus_clock,2026-08-30,5.708
3h,trend_plus_clock,2026-08-31,7.6305
3h,trend_plus_clock,2026-09-01,4.4945
3h,trend_plus_clock,2026-09-02,4.4346
6h,daily_mean,2026-08-29,20.5852
6h,daily_mean,2026-08-30,12.6572
6h,daily_mean,2026-08-31,22.738
6h,daily_mean,2026-09-01,22.3963
6h,daily_mean,2026-09-02,14.2927
6h,persistence,2026-08-29,25.1081
6h,persistence,2026-08-30,21.1304
6h,persistence,2026-08-31,30.625
6h,persistence,2026-09-01,39.1828
6h,persistence,2026-09-02,15.0
6h,extrapolation,2026-08-29,11.7838
6h,extrapolation,2026-08-30,7.7826
6h,extrapolation,2026-08-31,44.5893
6h,extrapolation,2026-09-01,23.6828
6h,extrapolation,2026-09-02,9.6027
6h,time_of_day,2026-08-29,4.5727
6h,time_of_day,2026-08-30,11.3855
6h,time_of_day,2026-08-31,13.2881
6h,time_of_day,2026-09-01,3.4523
6h,time_of_day,2026-09-02,10.8779
6h,trend_plus_clock,2026-08-29,4.8298
6h,trend_plus_clock,2026-08-30,5.4842
6h,trend_plus_clock,2026-08-31,20.7937
6h,trend_plus_clock,2026-09-01,11.3845
6h,trend_plus_clock,2026-09-02,3.5553
