horizon,rank,predictor,role
30m,1,hr_last,added
30m,2,has_sleep_context,added
30m,3,stress_max,added
30m,4,stress_count,added
30m,0,bb_current_measured,control
30m,0,bb_current_change_1h,control
30m,0,hour_sin,control
30m,0,hour_cos,control
1h,1,hr_last,added
1h,2,has_sleep_context,added
1h,3,resp_mean_1h,added
1h,4,rem_sleep_min,added
1h,0,bb_current_measured,control
1h,0,bb_current_change_1h,control
1h,0,hour_sin,control
1h,0,hour_cos,control
3h,1,hr_mean,added
3h,2,prevday_vigorous_intensity_min,added
3h,3,has_sleep_context,added
3h,4,sleep_low_respiration,added
3h,0,bb_current_measured,control
3h,0,bb_current_change_1h,control
3h,0,hour_sin,control
3h,0,hour_cos,control
6h,1,has_sleep_context,added
6h,0,bb_current_measured,control
6h,0,bb_current_change_1h,control
6h,0,hour_sin,control
6h,0,hour_cos,control
