horizon,step,added,loo_mae,loo_se,gain
30m,0,(controls only),1.359,0.0879,0.0
30m,1,hr_last,1.231,0.0705,0.128
30m,2,has_sleep_context,1.2101,0.0651,0.021
30m,3,stress_max,1.1943,0.0623,0.0157
30m,4,stress_count,1.1797,0.0605,0.0147
30m,5,resp_min,1.1678,0.0585,0.0119
30m,6,hr_mean_1h,1.1591,0.0555,0.0087
30m,7,rem_sleep_min,1.1529,0.0552,0.0062
30m,8,hr_std,1.149,0.0551,0.0038
30m,9,last_workout_type_is_running,1.1464,0.0534,0.0027
30m,10,dow_sin,1.1419,0.0533,0.0045
30m,11,sleep_high_respiration,1.1395,0.0538,0.0024
30m,12,prevday_medium_stress_pct,1.1351,0.0529,0.0044
1h,0,(controls only),2.6548,0.1915,0.0
1h,1,hr_last,2.446,0.1531,0.2088
1h,2,has_sleep_context,2.3935,0.1347,0.0526
1h,3,resp_mean_1h,2.357,0.1316,0.0365
1h,4,rem_sleep_min,2.3284,0.1278,0.0286
1h,5,stress_max,2.3069,0.1208,0.0214
1h,6,stress_count,2.2855,0.1197,0.0215
1h,7,dow_sin,2.2736,0.1178,0.0119
1h,8,last_workout_type_is_running,2.2549,0.1135,0.0188
1h,9,sleep_high_respiration,2.2436,0.1182,0.0112
1h,10,stress_mean_1h,2.2331,0.1162,0.0106
1h,11,prevday_medium_stress_pct,2.2276,0.1156,0.0055
1h,12,sleep_low_respiration,2.2196,0.1146,0.008
3h,0,(controls only),7.5191,0.6731,0.0
3h,1,hr_mean,7.2603,0.5955,0.2588
3h,2,prevday_vigorous_intensity_min,7.0732,0.5466,0.1871
3h,3,has_sleep_context,6.9649,0.4531,0.1083
3h,4,sleep_low_respiration,6.8714,0.4609,0.0935
3h,5,prevday_bb_low,6.7837,0.4001,0.0877
3h,6,resp_min,6.7516,0.3931,0.0322
3h,7,dow_sin,6.7225,0.4017,0.0291
3h,8,last_workout_type_is_running,6.6488,0.4007,0.0737
3h,9,stress_mean_3h,6.6338,0.4097,0.015
3h,10,stress_mean_1h,6.5701,0.417,0.0637
3h,11,bb_current_change_3h,6.5187,0.4323,0.0513
3h,12,stress_count,6.4977,0.4281,0.0211
6h,0,(controls only),10.3887,1.0753,0.0
6h,1,has_sleep_context,10.0912,0.9548,0.2976
6h,2,hr_mean,9.8363,0.9262,0.2549
6h,3,bb_current_change_3h,9.6956,0.8921,0.1407
6h,4,sleep_avg_respiration,9.5877,0.9001,0.1079
6h,5,dow_sin,9.4166,0.8878,0.1711
6h,6,stress_mean_3h,9.3721,0.9129,0.0445
6h,7,has_stress,9.3499,0.908,0.0223
6h,8,hours_since_prevday_summary,9.3235,0.8791,0.0264
6h,9,prevday_vigorous_intensity_min,9.283,0.8581,0.0404
6h,10,stress_std,9.2697,0.858,0.0134
6h,11,stress_mean_1h,9.2656,0.8569,0.0041
6h,12,stress_max,9.2636,0.8532,0.002
