column,role,group,causal_at_prediction_time
hr_mean,predictor,heart_rate,yes
hr_min,predictor,heart_rate,yes
hr_max,predictor,heart_rate,yes
hr_std,predictor,heart_rate,yes
hr_last,predictor,heart_rate,yes
hr_count,predictor,heart_rate,yes
hr_slope_per_min,predictor,heart_rate,yes
stress_mean,predictor,stress,yes
stress_min,predictor,stress,yes
stress_max,predictor,stress,yes
stress_std,predictor,stress,yes
stress_last,predictor,stress,yes
stress_count,predictor,stress,yes
stress_slope_per_min,predictor,stress,yes
resp_mean,predictor,respiration,yes
resp_min,predictor,respiration,yes
resp_max,predictor,respiration,yes
resp_std,predictor,respiration,yes
resp_last,predictor,respiration,yes
resp_count,predictor,respiration,yes
resp_slope_per_min,predictor,respiration,yes
hour_sin,predictor,time_context,yes
hour_cos,predictor,time_context,yes
dow_sin,predictor,time_context,yes
dow_cos,predictor,time_context,yes
sleep_duration_min,predictor,sleep,yes
deep_sleep_min,predictor,other,yes
light_sleep_min,predictor,other,yes
rem_sleep_min,predictor,other,yes
awake_sleep_min,predictor,other,yes
sleep_score,predictor,sleep,yes
sleep_avg_stress,predictor,sleep,yes
sleep_avg_respiration,predictor,sleep,yes
sleep_low_respiration,predictor,sleep,yes
sleep_high_respiration,predictor,sleep,yes
sleep_body_battery_change,predictor,sleep,yes
sleep_resting_hr,predictor,sleep,yes
hours_since_sleep_end,predictor,other,yes
prevday_steps,predictor,previous_day,yes
prevday_distance_m,predictor,previous_day,yes
prevday_total_kcal,predictor,previous_day,yes
prevday_active_kcal,predictor,previous_day,yes
prevday_active_min,predictor,previous_day,yes
prevday_highly_active_min,predictor,previous_day,yes
prevday_sedentary_min,predictor,previous_day,yes
prevday_moderate_intensity_min,predictor,previous_day,yes
prevday_vigorous_intensity_min,predictor,previous_day,yes
prevday_floors_ascended,predictor,previous_day,yes
prevday_resting_hr,predictor,previous_day,yes
prevday_7d_resting_hr,predictor,previous_day,yes
prevday_avg_stress,predictor,previous_day,yes
prevday_high_stress_pct,predictor,previous_day,yes
prevday_medium_stress_pct,predictor,previous_day,yes
prevday_low_stress_pct,predictor,previous_day,yes
prevday_bb_charged,predictor,previous_day,yes
prevday_bb_drained,predictor,previous_day,yes
prevday_bb_high,predictor,previous_day,yes
prevday_bb_low,predictor,previous_day,yes
prevday_bb_last,predictor,previous_day,yes
prevday_avg_spo2,predictor,previous_day,yes
prevday_low_spo2,predictor,previous_day,yes
prevday_waking_respiration,predictor,previous_day,yes
hours_since_prevday_summary,predictor,other,yes
workout_active,predictor,workout,yes
workout_type,predictor,workout,yes
last_workout_type,predictor,workout,yes
last_workout_duration_min,predictor,workout,yes
last_workout_calories,predictor,workout,yes
last_workout_steps,predictor,workout,yes
last_workout_avg_hr,predictor,workout,yes
last_workout_max_hr,predictor,workout,yes
last_workout_distance_m,predictor,workout,yes
last_workout_bb_change,predictor,workout,yes
last_workout_moderate_min,predictor,workout,yes
last_workout_vigorous_min,predictor,workout,yes
minutes_since_last_workout,predictor,workout,yes
hr_mean_1h,predictor,heart_rate,yes
hr_mean_3h,predictor,heart_rate,yes
stress_mean_1h,predictor,stress,yes
stress_mean_3h,predictor,stress,yes
resp_mean_1h,predictor,respiration,yes
resp_mean_3h,predictor,respiration,yes
bb_current_measured,predictor,body_battery,yes
bb_current_age_min,predictor,body_battery,yes
bb_current_change_1h,predictor,body_battery,yes
bb_current_change_3h,predictor,body_battery,yes
has_stress,predictor,data_quality,yes
has_resp,predictor,data_quality,yes
has_sleep_context,predictor,data_quality,yes
core_sensor_count,predictor,data_quality,yes
row_quality_score,predictor,data_quality,yes
row_quality_tier,predictor,data_quality,yes
target_bb_30m,target,future_body_battery,no - label only
eligible_30m,training_filter,data_quality,n/a
target_bb_1h,target,future_body_battery,no - label only
eligible_1h,training_filter,data_quality,n/a
target_bb_3h,target,future_body_battery,no - label only
eligible_3h,training_filter,data_quality,n/a
target_bb_6h,target,future_body_battery,no - label only
eligible_6h,training_filter,data_quality,n/a
